ts_iso,device,sound_raw,sound_adj,ts_ms_device
2025-10-30T03:18:04.506237,esp32-sound,63,0,583142
2025-10-30T03:18:07.430204,esp32-sound,64,0,586085
2025-10-30T03:18:10.600285,esp32-sound,64,0,589457
2025-10-30T03:18:13.675212,esp32-sound,63,0,592325
2025-10-30T03:18:17.092012,esp32-sound,64,0,595294
2025-10-30T03:18:19.936662,esp32-sound,63,0,598678
2025-10-30T03:18:23.038756,esp32-sound,63,0,601674
2025-10-30T03:18:25.759297,esp32-sound,63,0,604612
2025-10-30T03:18:28.836702,esp32-sound,64,0,607277
2025-10-30T03:18:31.877305,esp32-sound,64,0,610658
2025-10-30T03:18:34.881013,esp32-sound,64,0,613632
2025-10-30T04:03:47.709693,esp32-sound,65,15,2490120
2025-10-30T04:03:51.283914,esp32-sound,65,15,2493002
2025-10-30T04:03:55.241471,esp32-sound,65,15,2496977
2025-10-30T04:04:01.864858,esp32-sound,66,16,2501476
2025-10-30T04:04:07.991943,esp32-sound,65,15,2509150
2025-10-30T04:04:22.018414,esp32-sound,65,15,2524275
2025-10-30T04:04:36.857928,esp32-sound,65,15,2539149
2025-10-30T04:04:43.731691,esp32-sound,66,16,2546268
2025-10-30T04:04:52.216070,esp32-sound,66,16,2553500
2025-10-30T04:04:59.691307,esp32-sound,65,15,2561677
2025-10-30T04:04:29.517909,esp32-sound,65,15,2531779
2025-10-30T04:05:06.755722,esp32-sound,65,15,2569365
2025-10-30T04:05:09.527283,esp32-sound,65,15,2571967
2025-10-30T04:05:13.817146,esp32-sound,65,15,2576242
2025-10-30T04:05:17.008205,esp32-sound,65,15,2579047
2025-10-30T04:05:20.785720,esp32-sound,65,15,2583711
2025-10-30T04:05:23.435583,esp32-sound,65,15,2586171
2025-10-30T04:05:26.317947,esp32-sound,64,14,2589140
2025-10-30T04:05:29.938718,esp32-sound,65,15,2592009
2025-10-30T04:05:32.863968,esp32-sound,65,15,2595382
2025-10-30T04:05:35.728227,esp32-sound,65,15,2598358
2025-10-30T04:05:39.416448,esp32-sound,65,15,2600964
2025-10-30T04:05:42.169342,esp32-sound,65,15,2604701
2025-10-30T04:05:45.259493,esp32-sound,65,15,2607573
2025-10-30T04:05:48.722493,esp32-sound,65,15,2611155
2025-10-30T04:05:51.620379,esp32-sound,65,15,2614123
2025-10-30T04:05:56.327619,esp32-sound,65,15,2616886
2025-10-30T04:05:59.493679,esp32-sound,65,15,2621705
2025-10-30T04:06:02.257659,esp32-sound,65,15,2625185
2025-10-30T04:06:04.717165,esp32-sound,65,15,2627645
2025-10-30T04:06:08.500331,esp32-sound,65,15,2629992
2025-10-30T04:06:11.669023,esp32-sound,65,15,2633794
2025-10-30T04:06:16.483933,esp32-sound,64,14,2636956
2025-10-30T04:06:19.760807,esp32-sound,66,16,2641981
2025-10-30T04:06:22.525734,esp32-sound,65,15,2645048
2025-10-30T04:06:28.166270,esp32-sound,65,15,2650272
2025-10-30T04:06:31.119877,esp32-sound,66,16,2653959
2025-10-30T04:06:35.026653,esp32-sound,65,15,2656419
2025-10-30T04:06:38.620240,esp32-sound,65,15,2661016
2025-10-30T04:06:42.703141,esp32-sound,65,15,2665538
2025-10-30T04:06:45.986746,esp32-sound,65,15,2668911
2025-10-30T04:06:49.056258,esp32-sound,66,16,2671980
2025-10-30T04:06:51.401350,esp32-sound,65,15,2674373
2025-10-30T04:06:54.897057,esp32-sound,65,15,2676635
2025-10-30T04:06:57.860012,esp32-sound,65,15,2680174
2025-10-30T04:07:02.256565,esp32-sound,65,15,2683144
2025-10-30T04:07:05.538477,esp32-sound,65,15,2688258
2025-10-30T04:07:12.404996,esp32-sound,65,15,2691644
2025-10-30T04:07:16.706448,esp32-sound,66,16,2697689
2025-10-30T04:07:19.719081,esp32-sound,64,14,2701984
2025-10-30T04:07:22.646755,esp32-sound,66,16,2705285
2025-10-30T04:07:25.630097,esp32-sound,65,15,2707924
2025-10-30T04:07:29.384862,esp32-sound,64,14,2711530
2025-10-30T04:07:32.617589,esp32-sound,66,16,2714685
2025-10-30T04:07:35.049815,esp32-sound,66,16,2717960
2025-10-30T04:07:37.803236,esp32-sound,65,15,2720421
2025-10-30T04:07:43.454470,esp32-sound,65,15,2723294
2025-10-30T04:07:47.478246,esp32-sound,65,15,2730246
2025-10-30T04:07:51.135381,esp32-sound,65,15,2733317
2025-10-30T04:07:53.980130,esp32-sound,66,16,2736594
2025-10-30T04:07:56.441749,esp32-sound,66,16,2739358
2025-10-30T04:07:59.095660,esp32-sound,65,15,2741824
2025-10-30T04:08:02.433019,esp32-sound,65,15,2744581
2025-10-30T04:08:07.313868,esp32-sound,65,15,2748782
2025-10-30T04:08:10.295895,esp32-sound,65,15,2752549
2025-10-30T04:08:13.039042,esp32-sound,65,15,2755847
2025-10-30T04:08:17.174292,esp32-sound,65,15,2758410
2025-10-30T04:08:20.490927,esp32-sound,66,16,2762610
2025-10-30T04:08:23.171952,esp32-sound,65,15,2765785
2025-10-30T04:08:26.077690,esp32-sound,66,16,2768448
